,ID,Name,RA,DEC,Obj. Type,Repeater of Primary Burst,DM,DM-Err,DM-Units,Gal. DM Limit,Gal. DM Model,Barycentric Datetime,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery_time_inff,time_delay,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
0,80253,FRB 20210328A,05:08:28.800,+26:11:24.00,FRB,20201124A,415.7,1.62,pc/cc,140.39,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_166119493,,,1,1,2021-03-31,,,354588540.4503031,-10.771696946527978,2021-03-28 00:49:08.222,CHIME_FRB_bot,,2021TNSFR.990....1C,,
1,80252,FRB 20210327C,05:08:33.600,+26:11:24.00,FRB,20201124A,422.17,1.62,pc/cc,140.39,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_166030290,,,1,1,2021-03-31,,,354502382.75665116,-10.93934880903468,2021-03-27 00:53:10.696,CHIME_FRB_bot,,2021TNSFR.990....1C,,
2,80251,FRB 20210327B,05:08:33.600,+26:11:24.00,FRB,20201124A,411.25,0.4,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_166030287,,,1,1,2021-03-31,,,354502382.8896123,-10.65638770570034,2021-03-27 00:53:10.546,CHIME_FRB_bot,,2021TNSFR.990....1C,,
3,80250,FRB 20210327A,05:03:38.400,+26:11:24.00,FRB,20201124A,416.51,0.81,pc/cc,140.39,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_166030118,,,1,1,2021-03-31,,,354501974.4773142,-10.792685819577502,2021-03-27 00:46:22.270,CHIME_FRB_bot,,2021TNSFR.990....1C,,
4,80249,FRB 20210326A,05:07:09.600,+26:11:24.00,FRB,20201124A,412.46,1.62,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_165803079,,,1,1,2021-03-31,,,354416023.40025854,-10.687741454329876,2021-03-26 00:53:51.088,CHIME_FRB_bot,,2021TNSFR.990....1C,,
5,80248,FRB 20210323A,05:13:16.800,+26:12:00.00,FRB,20201124A,414.89,0.81,pc/cc,148.89,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_165547790,,,1,1,2021-03-31,,,354157676.3512919,-10.750708073478453,2021-03-23 01:08:04.102,CHIME_FRB_bot,,2021TNSFR.990....1C,,
6,80247,FRB 20210322A,05:08:21.600,+26:11:24.00,FRB,20201124A,410.04,0.81,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_165393253,,,1,1,2021-03-31,,,354071436.689966,-10.625033957070801,2021-03-22 01:10:44.315,CHIME_FRB_bot,,2021TNSFR.990....1C,,
7,80246,FRB 20210321A,05:07:50.400,+26:11:24.00,FRB,20201124A,412.46,1.62,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_165254133,,,1,1,2021-03-31,,,353985134.83625853,-10.687741454329876,2021-03-21 01:12:22.524,CHIME_FRB_bot,,2021TNSFR.990....1C,,
8,80245,FRB 20210301A,05:01:55.200,+26:10:48.00,FRB,20201124A,417.3,3.23,pc/cc,132.42,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_162792037,,,1,1,2021-03-31,,,352261717.4738436,-10.813156448848027,2021-03-01 02:28:45.287,CHIME_FRB_bot,,2021TNSFR.990....1C,,
9,80244,FRB 20210220A,05:07:48.000,+26:11:24.00,FRB,20201124A,418.93,1.62,pc/cc,140.39,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_160542826,,,1,1,2021-03-31,,,351486375.0976067,-10.855393316836578,2021-02-20 03:06:22.953,CHIME_FRB_bot,,2021TNSFR.990....1C,,
10,79008,FRB 20210213A,12:46:57.600,+83:07:12.00,FRB,,481.61,0.4,pc/cc,45.75,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_157646917,,,1,1,2022-03-11,,,350910723.5024307,-12.479569320224535,2021-02-13 11:12:12.982,CHIME_FRB_bot,,2022TNSFR.693....1C,,
11,79007,FRB 20210206A,03:35:57.600,+52:43:48.00,FRB,,361.51,0.81,pc/cc,191.12,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_156410110,,,1,1,2022-03-11,,,350274928.32248455,-9.367515427325785,2021-02-06 02:35:34.690,CHIME_FRB_bot,,2022TNSFR.693....1C,,
12,80242,FRB 20201216A,05:07:38.400,+26:11:24.00,FRB,20201124A,409.23,1.62,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_147503727,,,1,1,2021-03-31,,,345799751.8069549,-10.604045084021276,2020-12-16 07:29:19.411,CHIME_FRB_bot,,2021TNSFR.990....1C,,
13,80243,FRB 20201210A,05:13:57.600,+26:12:00.00,FRB,20201124A,414.89,0.81,pc/cc,148.89,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_146444496,,,1,1,2021-03-31,,,345282875.2202919,-10.750708073478453,2020-12-10 07:54:42.971,CHIME_FRB_bot,,2021TNSFR.990....1C,,
14,72144,FRB 20201129A,09:57:43.200,+68:46:12.00,FRB,20200120E,87.75,0.4,pc/cc,41.62,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_145207799,,,1,1,2021-04-23,,,344352690.5842054,-2.2737945803652395,2020-11-29 13:31:29.858,CHIME_FRB_bot,,2021TNSFR1346....1C,,
15,80241,FRB 20201124B,05:08:26.400,+26:11:24.00,FRB,20201124A,404.36,3.23,pc/cc,141.23,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_144650834,,,1,1,2021-03-31,,,343904078.39014727,-10.477852723834623,2020-11-24 08:54:45.868,CHIME_FRB_bot,,2021TNSFR.990....1C,,
